cc_skill_code,code_desc,video_link,Video id,published_at,video_title,video_desc,channel_title,Label
7.RP.A.2.D,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",https://www.youtube.com/watch?v=9ya8YNMJ27g,9ya8YNMJ27g,2018-11-26T10:00:01.000Z,Proportional vs. Non-Proportional (Relationships on Graphs),"To subscribe for more click here: goo.gl/9NZv2X This short video shows proportional relationships on a graph. In the video you will see a mini-lesson, practice ...",Eric Buffington,Yes
7.RP.A.2.D,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",https://www.youtube.com/watch?v=7up731HX2uA,7up731HX2uA,2015-01-26T19:24:25.000Z,[7.RP.2c-1.4] Graphing Proportional Relationships - Common Core Standard,"Discover more Common Core Math at https://www.frontrowed.com Explain what the points (0, 0) and (1, r) where r is the unit rate on the graph of a proportional ...",Freckle Education,Yes
7.RP.A.2.D,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",https://www.youtube.com/watch?v=1F7LAJEVp-U,1F7LAJEVp-U,2013-08-09T22:18:16.000Z,Graphing proportional relationships example | 8th grade | Khan Academy,Practice this lesson yourself on KhanAcademy.org right now: ...,Khan Academy,Yes
7.RP.A.3,"Use proportional relationships to solve multistep ratio and percent problems. Examples: simple interest, tax, markups and markdowns, gratuities and commissions, fees, percent increase and decrease, percent error.",https://www.youtube.com/watch?v=nm2b1U8mvhI,nm2b1U8mvhI,2017-10-06T19:23:45.000Z,Proportional Reasoning With Percents (7.RP.3),"In this video, a word problem involving percents is presented and solved for using a proportion. For more videos and instructional resources, visit TenMarks.com.",TenMarks Amazon,Yes
7.RP.A.3,"Use proportional relationships to solve multistep ratio and percent problems. Examples: simple interest, tax, markups and markdowns, gratuities and commissions, fees, percent increase and decrease, percent error.",https://www.youtube.com/watch?v=PqJuIal2-rY,PqJuIal2-rY,2017-04-05T13:53:55.000Z,Percents of Numbers - Word Problems - 7.RP.A.3,"Seventh grade Percents of numbers: word problems Using Singapore Math Tape Models, you will learn how to find a percent of a number by dividing 100% into ...",ParksMath,Yes
7.RP.A.3,"Use proportional relationships to solve multistep ratio and percent problems. Examples: simple interest, tax, markups and markdowns, gratuities and commissions, fees, percent increase and decrease, percent error.",https://www.youtube.com/watch?v=Ep8y4v7-Dmw,Ep8y4v7-Dmw,2015-12-16T15:43:46.000Z,7.RP.A.3.P.2,Common Core Mathematics Video.,SEDL,Yes
7.RP.A.3,"Use proportional relationships to solve multistep ratio and percent problems. Examples: simple interest, tax, markups and markdowns, gratuities and commissions, fees, percent increase and decrease, percent error.",https://www.youtube.com/watch?v=EOqxDyiMAdE,EOqxDyiMAdE,2017-04-06T15:24:18.000Z,Find Percents using Singapore Math - 7.RP.A.3,Solve Percent Equations - Word Problems Seventh grade Using Singapore Math Tape Modeling Hit the 'THUMBS UP' if you liked the video. Click 'SUBSCRIBE' ...,ParksMath,Yes
7.RP.A.3,"Use proportional relationships to solve multistep ratio and percent problems. Examples: simple interest, tax, markups and markdowns, gratuities and commissions, fees, percent increase and decrease, percent error.",https://www.youtube.com/watch?v=whreCx_YLko,whreCx_YLko,2017-12-17T19:57:19.000Z,7 RP A 3 Percent decrease and increase,,Alex Sandwisch,Yes
7.NS.A.1.A,"Describe situations in which opposite quantities combine to make 0. For example, a hydrogen atom has 0 charge because its two constituents are oppositely charged.",https://www.youtube.com/watch?v=bChoL5qB6cM,bChoL5qB6cM,2014-08-11T15:25:17.000Z,CCSS 7.NS.1.a,CCSS 7.NS.1.a.,Robert Wirtz,Yes
7.NS.A.1.A,"Describe situations in which opposite quantities combine to make 0. For example, a hydrogen atom has 0 charge because its two constituents are oppositely charged.",https://www.youtube.com/watch?v=iQTrf_eCfI8,iQTrf_eCfI8,2015-08-05T17:46:53.000Z,Absolute Value and Additive Inverse | 7.NS.A.1 | 7th Grade Math,,ParksMath,Yes
7.NS.A.1.A,"Describe situations in which opposite quantities combine to make 0. For example, a hydrogen atom has 0 charge because its two constituents are oppositely charged.",https://www.youtube.com/watch?v=4dvG5PXUGFk,4dvG5PXUGFk,2014-12-07T01:20:14.000Z,01 Opposite Quantities Combine to Make Zero,,Akersch01,Yes
7.NS.A.1.A,"Describe situations in which opposite quantities combine to make 0. For example, a hydrogen atom has 0 charge because its two constituents are oppositely charged.",https://www.youtube.com/watch?v=V1kXk2yrBZw,V1kXk2yrBZw,2015-02-08T15:37:22.000Z,Lesson 1 Opposite Quantities Combine to Make Zero,,Daniel Minde,Yes
7.NS.A.1.A,"Describe situations in which opposite quantities combine to make 0. For example, a hydrogen atom has 0 charge because its two constituents are oppositely charged.",https://www.youtube.com/watch?v=VufrCCcsse4,VufrCCcsse4,"2015-01-26T19:23:02.000Z
",[7.NS.1a-1.0] Sums of Zero - Common Core Standard,"Discover more Common Core Math at https://www.frontrowed.com Describe situations in which opposite quantities combine to make 0. For example, a hydrogen ...",Freckle Education,Yes
7.NS.A.1.B,"Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=WTIotEFCYno,WTIotEFCYno,2014-08-11T16:21:20.000Z,CCSS 7.NS.1.b,CCSS 7.NS.1.b.,Robert Wirtz,Yes
7.NS.A.1.B,"Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=LXZqE_soFzY,LXZqE_soFzY,2010-10-20T22:01:39.000Z,7.NS.A.1b / 7.NS.A.1c - Addition and Subtraction of Rational Numbers (Part 1 of 2),Watch Mr. Almeida fully explain how to add and subtract rational numbers using vectors and the concept of a number line.,MathwithMrAlmeida,Yes
7.NS.A.1.B,"Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=LXZqE_soFzY,LXZqE_soFzY,2010-10-20T22:01:39.000Z,7.NS.A.1b / 7.NS.A.1c - Addition and Subtraction of Rational Numbers (Part 1 of 2),Watch Mr. Almeida fully explain how to add and subtract rational numbers using vectors and the concept of a number line.,MathwithMrAlmeida,Not Relevant
7.NS.A.1.C,"Understand subtraction of rational numbers as adding the additive inverse, p - q = p + (-q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts.",https://www.youtube.com/watch?v=LXZqE_soFzY,LXZqE_soFzY,2010-10-20T22:01:39.000Z,7.NS.A.1b / 7.NS.A.1c - Addition and Subtraction of Rational Numbers (Part 1 of 2),Watch Mr. Almeida fully explain how to add and subtract rational numbers using vectors and the concept of a number line.,MathwithMrAlmeida,Yes
7.NS.A.1.C,"Understand subtraction of rational numbers as adding the additive inverse, p - q = p + (-q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts.",https://www.youtube.com/watch?v=LXZqE_soFzY,LXZqE_soFzY,2010-10-20T22:01:39.000Z,7.NS.A.1b / 7.NS.A.1c - Addition and Subtraction of Rational Numbers (Part 1 of 2),Watch Mr. Almeida fully explain how to add and subtract rational numbers using vectors and the concept of a number line.,MathwithMrAlmeida,Not Relevant
7.NS.A.1.B,"Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=IYNyBvB8BjA,IYNyBvB8BjA,2016-10-23T20:06:34.000Z,Adding and Subtracting Signed Number Fractions with Unlike Denominators | 7.NS.A.1b | 7.NS.A.1c,This tutorial will guide you through my easy process of creating common denominators in order to combine positive and negative valued fractions. This 7th grade ...,ParksMath,Not Relevant
7.NS.A.1.B,"Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=nWbQIORfcyg,nWbQIORfcyg,2015-09-16T17:50:45.000Z,7.NS.A.1b,"This is a 7th Grade lesson (Lesson 1-2,4) based on the standard 7.NS.A.1b for the CU-Online Buffs of Oxford Preparatory Academy.",Connor Berry,Yes
7.NS.A.1.B,"Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=CQ0OHoaS8eo,CQ0OHoaS8eo,2017-10-06T19:05:08.000Z,Addition and Subtraction of Rational Numbers Using a Number Line (7.NS.1b),"This video will describe the sum and difference of rational numbers using a number line and in terms of a context. For more videos and instructional resources, ...",TenMarks Amazon,Yes
7.NS.A.1.C,"Understand subtraction of rational numbers as adding the additive inverse, p - q = p + (-q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts.",https://www.youtube.com/watch?v=jBIf10lgWyU,jBIf10lgWyU,2014-08-11T17:04:18.000Z,CCSS 7.NS.1.c,CCSS 7.NS.1.c.,Robert Wirtz,Yes
7.NS.A.1.C,"Understand subtraction of rational numbers as adding the additive inverse, p - q = p + (-q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts.",https://www.youtube.com/watch?v=Wn8Bf_r0vzo,Wn8Bf_r0vzo,2015-09-21T15:29:47.000Z,7.NS.1C,"This is a 7th Grade lesson (Lesson 1-6, 7) based on the standard 7.NS.A.1C for the CU-Online Buffs of Oxford Preparatory Academy.",Connor Berry,Yes
7.NS.A.1.C,"Understand subtraction of rational numbers as adding the additive inverse, p - q = p + (-q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts.",https://www.youtube.com/watch?v=T1yNpgVkMRM,T1yNpgVkMRM,2017-10-24T21:30:05.000Z,Rewrite Expressions as Addition - 7.NS.A.1c,"When teaching adding and subtracting integers, especially double signed numbers, it's easier to recognize the types of terms you have if you change the ...",ParksMath,Yes
7.NS.A.1.C,"Understand subtraction of rational numbers as adding the additive inverse, p - q = p + (-q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts.",https://www.youtube.com/watch?v=TSnZ0dlh3NA,TSnZ0dlh3NA,2010-10-20T22:59:05.000Z,7.NS.A.1b / 7.NS.A.1c - Addition (and Subtraction) of Rational Numbers (Part 2 of 2),Watch Mr. Almeida carefully explain how to add (and subtract) rational numbers by trying out some problems. WATCH PART 1 OF 2 BEFORE WATCHING THIS ...,MathwithMrAlmeida,Yes
7.NS.A.1.D,Apply properties of operations as strategies to add and subtract rational numbers.,https://www.youtube.com/watch?v=k2rrJDcOGsw,k2rrJDcOGsw,2014-08-12T14:26:26.000Z,CCSS 7.NS.1.d,CCSS 7.NS.1.d.,Robert Wirtz,Yes
7.NS.A.1.D,Apply properties of operations as strategies to add and subtract rational numbers.,https://www.youtube.com/watch?v=5RZwBqvMVMI,5RZwBqvMVMI,2015-10-12T15:51:30.000Z,Operation Properties Commutative Property 7 NS A 1 d and 7 NS A 2 c,Video 1 of 5.,Math Man,Yes
7.NS.A.1.D,Apply properties of operations as strategies to add and subtract rational numbers.,https://www.youtube.com/watch?v=6uts4lH_tP4,6uts4lH_tP4,2015-10-12T18:01:36.000Z,Operation Properties Distributive Property 7 NS A 1 d and 7 NS A 2 c,video 3 of 5.,Math Man,Yes
7.NS.A.1.D,Apply properties of operations as strategies to add and subtract rational numbers.,https://www.youtube.com/watch?v=GtiYyWQI8ZA,GtiYyWQI8ZA,2016-09-19T03:33:22.000Z,7.NS.1.D,,Lessons,Yes
7.NS.A.1.D,Apply properties of operations as strategies to add and subtract rational numbers.,https://www.youtube.com/watch?v=ev8g5jdDxEA,ev8g5jdDxEA,2014-04-22T14:48:49.000Z,08 Applying the Properties of Operations to Add and Subtract Rational Numbers,,Akersch01,Yes
7.NS.A.2.A,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (-1)(-1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=xRLaBFyc-UM,xRLaBFyc-UM,2015-09-24T12:09:13.000Z,Multiplying and Dividing Signed Numbers (Mickey Mouse) | 7.NS.A.2 | 7th Grade Math,This ParksMath tutorial will explain how to multiply and divide signed numbers. You will see how to use 'Mickey Mouse' in order to identify the signs of the terms ...,ParksMath,Yes
7.NS.A.2.A,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (-1)(-1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=3Xf5_-WM6h0,3Xf5_-WM6h0,2014-11-09T13:51:06.000Z,Multiplying Decimal Numbers | 7.NS.A.2a | 7th Grade Math,How to take the 'decimal' out of multiplying decimal numbers. An easy technique that will have you multiplying decimal numbers with complete success.,ParksMath,Not Relevant
7.NS.A.2.A,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (-1)(-1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=NVVL3jc2nRE,NVVL3jc2nRE,2015-10-08T01:48:47.000Z,Distributive Property and Factoring | 7.NS.A.2a &amp; 8.EE.C.7b | 7th and 8th Grade Math,This tutorial combines an explanation of distributive property and factoring together. Students will be able to identify when to distribute and what to distribute.,ParksMath,Yes
7.NS.A.2.A,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (-1)(-1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=RKjFYgSREG8,RKjFYgSREG8,2017-09-18T21:08:09.000Z,Operations with Rational Numbers (Fractions): 7th Grade Unit 1 Lesson 6,"Don't forget to like, comment, and subscribe so you don't miss future videos! Share this video: https://youtu.be/RKjFYgSREG8 Follow me on Facebook: ...",Mr. Sal,Yes
7.NS.A.2.A,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (-1)(-1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=3USkdBSwdKs,3USkdBSwdKs,2012-03-15T01:41:39.000Z,1026. Multiplication Property of Rational Number,Multiplying both the numerator and denominator by the same number does not result in any change in value of Rational Number.,Arinjay Academy,Yes
7.NS.A.2.B,"Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers, then -(p/q) = (-p)/q = p/(-q). Interpret quotients of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=71l1dxnNN28,71l1dxnNN28,2019-05-29T15:59:10.000Z,Solving Integer Equations,"7.NS.2b Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number.",Skubes Ed,Yes
7.NS.A.2.B,"Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers, then -(p/q) = (-p)/q = p/(-q). Interpret quotients of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=Gz4K_CjxcCU,Gz4K_CjxcCU,2019-05-20T23:26:16.000Z,Multiplying and Dividing Integers,7.NS.2 Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers. 7.NS.2a Understand ...,Skubes Ed,Yes
7.NS.A.2.B,"Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers, then -(p/q) = (-p)/q = p/(-q). Interpret quotients of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=Fre5g65sj0w,Fre5g65sj0w,2014-03-18T08:12:29.000Z,Dividing Positive and Negative Numbers | The News | PBSMathClub,"Math Club brings you this news update! Negative numbers have begun dividing our country. For more on this breaking story, we go to the Math Club News Team ...",PBS Math Club,Yes
7.NS.A.2.B,"Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers, then -(p/q) = (-p)/q = p/(-q). Interpret quotients of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=xWiQT2LaD78,xWiQT2LaD78,2017-10-06T19:09:14.000Z,Dividing Positive and Negative Numbers (7.NS.2b),"This video explains how to divide positive and negative numbers to find the quotient. For more videos and instructional resources, visit TenMarks.com. TenMarks ...",TenMarks Amazon,Yes
7.NS.A.2.B,"Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers, then -(p/q) = (-p)/q = p/(-q). Interpret quotients of rational numbers by describing real-world contexts.",https://www.youtube.com/watch?v=h7JatMD-B_w,h7JatMD-B_w,2019-09-06T10:08:04.000Z,Lesson 4 7.NS.2a 7.NS.2b Multiply and Divide Positive and Negative Integers,"This video is about learning and practicing exactly what is says in the title. The rules are logical, and we simply need to memorize them and understand why.",Edward R George,Yes
7.NS.A.2.C,Apply properties of operations as strategies to multiply and divide rational numbers.,https://www.youtube.com/watch?v=VoI3U21K8_4,VoI3U21K8_4,2015-10-17T16:05:48.000Z,Multiplying and Dividing Decimals | 7.NS.A.2c | 7th Grade Math,ParksMath explains how to multiply and divide decimals numbers without the use of a calculator. Understanding how to change a decimal number so that it is an ...,ParksMath,Yes
7.NS.A.2.C,Apply properties of operations as strategies to multiply and divide rational numbers.,https://www.youtube.com/watch?v=7E64xzjsgpo,7E64xzjsgpo,2015-10-12T21:06:40.000Z,Operation Properties Inverse Property 7 NS A 1 d and 7 NS A 2 c,video 5 of 5.,Math Man,Yes
